"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
194,"SCI_FI","Show","True",2004,"Stargate SG-1","s08e12","Prometheus Unbound",,"NULL","NULL","NULL","NULL"
195,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e13","It's Good To Be King",,"NULL","NULL","NULL","NULL"
196,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e14","Full Alert",,"NULL","NULL","NULL","NULL"
197,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e15","Citizen Joe",,"NULL","NULL","NULL","NULL"
198,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e16","Reckoning (1)",,"NULL","NULL","NULL","NULL"
199,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e17","Reckoning (2)",,"NULL","NULL","NULL","NULL"
200,"SCI_FI","Show","True",2004,"Stargate Atlantis","s01e12","The Defiant One",,"NULL","NULL","NULL","NULL"
201,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e18","Threads",,"NULL","NULL","NULL","NULL"
202,"SCI_FI","Show","True",2004,"Stargate Atlantis","s01e13","Hot Zone",,"NULL","NULL","NULL","NULL"
203,"SCI_FI","Show","True",2004,"Stargate Atlantis","s01e14","Sanctuary",,"NULL","NULL","NULL","NULL"
204,"SCI_FI","Show","True",2004,"Stargate Atlantis","s01e15","Before I Sleep",,"NULL","NULL","NULL","NULL"
205,"SCI_FI","Show","True",2005,"Stargate Atlantis","s01e16","The Brotherhood",,"NULL","NULL","NULL","NULL"
206,"SCI_FI","Show","True",2005,"Stargate Atlantis","s01e17","Letters from Pegasus",,"NULL","NULL","NULL","NULL"
207,"SCI_FI","Show","True",2005,"Stargate Atlantis","s01e18","The Gift",,"NULL","NULL","NULL","NULL"
208,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e19","Moebius (1)",,"NULL","NULL","NULL","NULL"
209,"SCI_FI","Show","True",2005,"Stargate SG-1","s08e20","Moebius (2)",,"NULL","NULL","NULL","NULL"
210,"SCI_FI","Show","True",2005,"Stargate Atlantis","s01e19","The Siege (1)",,"NULL","NULL","NULL","NULL"
211,"SCI_FI","Show","True",2005,"Stargate Atlantis","s01e20","The Siege (2)",,"NULL","NULL","NULL","NULL"
212,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e01","The Siege (3)",,"NULL","NULL","NULL","NULL"
213,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e01","Avalon (1)",,"NULL","NULL","NULL","NULL"
214,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e01","Avalon",,"NULL","NULL","NULL","NULL"
215,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e02","Avalon (2)",,"NULL","NULL","NULL","NULL"
216,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e02","Avalon",,"NULL","NULL","NULL","NULL"
217,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e03","Origin (3)",,"NULL","NULL","NULL","NULL"
218,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e03","Origin",,"NULL","NULL","NULL","NULL"
219,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e04","The Ties That Bind",,"NULL","NULL","NULL","NULL"
220,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e02","The Intruder",,"NULL","NULL","NULL","NULL"
221,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e03","Runner",,"NULL","NULL","NULL","NULL"
222,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e04","Duet",,"NULL","NULL","NULL","NULL"
223,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e05","The Powers That Be",,"NULL","NULL","NULL","NULL"
224,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e05","Condemned",,"NULL","NULL","NULL","NULL"
225,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e06","Beachhead",,"NULL","NULL","NULL","NULL"
226,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e06","Trinity",,"NULL","NULL","NULL","NULL"
227,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e07","Ex Deus Machina",,"NULL","NULL","NULL","NULL"
228,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e07","Instinct",,"NULL","NULL","NULL","NULL"
229,"SCI_FI","Show","True",2005,"Stargate Atlantis","s02e08","Conversion",,"NULL","NULL","NULL","NULL"
230,"SCI_FI","Show","True",2005,"Stargate SG-1","s09e08","Babylon",,"NULL","NULL","NULL","NULL"
